
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
wp_allowed_protocols,2.0,2.0,0.0,8.0,5.0,10.0,10.0,2.0,  
wp_debug_backtrace_summary,9.0,10.0,2.0,30.0,21.0,33.0,31.0,32.0,  
_get_non_cached_ids,3.0,3.0,0.0,10.0,6.0,11.0,11.0,3.0,  
_device_can_upload,3.0,6.0,0.0,11.0,6.0,14.0,14.0,8.0,  
wp_is_stream,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
wp_checkdate,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_auth_check_load,4.0,5.0,0.0,15.0,12.0,19.0,19.0,12.0,  
wp_auth_check_html,5.0,7.0,1.0,29.0,15.0,35.0,34.0,200.0,  
wp_auth_check,1.0,2.0,0.0,4.0,2.0,4.0,4.0,1.0,  
get_tag_regex,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
_canonical_charset,3.0,9.0,0.0,9.0,5.0,11.0,11.0,25.0,  
mbstring_binary_safe_encoding,5.0,7.0,0.0,17.0,13.0,21.0,21.0,24.0,  
reset_mbstring_encoding,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_admin_css,6.0,8.0,3.0,16.0,12.0,20.0,17.0,120.0,  
home_url,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_home_url,5.0,9.0,0.0,20.0,14.0,25.0,25.0,45.0,  
site_url,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_site_url,3.0,5.0,0.0,13.0,9.0,16.0,16.0,9.0,  
admin_url,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_admin_url,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
includes_url,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
content_url,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
plugins_url,6.0,9.0,1.0,20.0,15.0,27.0,26.0,72.0,  
network_site_url,4.0,5.0,0.0,12.0,9.0,16.0,16.0,12.0,  
network_home_url,6.0,8.0,0.0,15.0,12.0,21.0,21.0,72.0,  
network_admin_url,3.0,4.0,0.0,8.0,6.0,11.0,11.0,6.0,  
user_admin_url,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
self_admin_url,3.0,3.0,0.0,8.0,5.0,8.0,8.0,3.0,  
rel_canonical,4.0,4.0,0.0,11.0,9.0,15.0,15.0,8.0,  
wp_unregister_GLOBALS,6.0,8.0,1.0,12.0,9.0,16.0,15.0,80.0,  
wp_fix_server_vars,11.0,15.0,9.0,35.0,23.0,53.0,44.0,276.0,  
wp_check_php_mysql_versions,3.0,4.0,0.0,12.0,8.0,13.0,13.0,6.0,  
wp_favicon_request,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
wp_maintenance,6.0,8.0,1.0,33.0,21.0,39.0,38.0,72.0,  
timer_start,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
timer_stop,3.0,3.0,1.0,9.0,7.0,9.0,8.0,10.0,  
wp_debug_mode,6.0,6.0,0.0,17.0,12.0,19.0,19.0,14.0,  
wp_set_lang_dir,5.0,7.0,4.0,15.0,8.0,17.0,13.0,7.0,  
require_wp_db,3.0,3.0,0.0,9.0,7.0,12.0,12.0,4.0,  
wp_set_wpdb_vars,3.0,3.0,1.0,16.0,8.0,20.0,19.0,4.0,  
wp_using_ext_object_cache,2.0,2.0,0.0,7.0,5.0,7.0,7.0,2.0,  
wp_start_object_cache,9.0,11.0,6.0,24.0,19.0,35.0,29.0,96.0,  
wp_not_installed,4.0,7.0,0.0,13.0,10.0,15.0,15.0,7.0,  
wp_get_mu_plugins,5.0,5.0,0.0,14.0,11.0,15.0,15.0,12.0,  
wp_get_active_and_valid_plugins,6.0,12.0,5.0,20.0,12.0,26.0,21.0,315.0,  
wp_set_internal_encoding,3.0,4.0,0.0,7.0,4.0,7.0,7.0,4.0,  
wp_magic_quotes,2.0,2.0,3.0,12.0,9.0,17.0,14.0,2.0,  
shutdown_action_hook,1.0,1.0,5.0,4.0,2.0,9.0,4.0,1.0,  
wp_clone,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
is_admin,3.0,3.0,0.0,7.0,5.0,8.0,8.0,3.0,  
is_blog_admin,3.0,3.0,0.0,7.0,5.0,8.0,8.0,3.0,  
is_network_admin,3.0,3.0,0.0,7.0,5.0,8.0,8.0,3.0,  
is_user_admin,3.0,3.0,0.0,7.0,5.0,8.0,8.0,3.0,  
is_multisite,3.0,5.0,0.0,7.0,5.0,9.0,9.0,8.0,  
get_current_blog_id,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
wp_load_translations_early,17.0,21.0,3.0,49.0,42.0,70.0,67.0,31110.0,  
wp_set_current_user,2.0,4.0,0.0,9.0,7.0,14.0,14.0,4.0,  
wp_get_current_user,1.0,1.0,0.0,5.0,3.0,7.0,7.0,1.0,  
get_currentuserinfo,7.0,12.0,2.0,27.0,20.0,35.0,33.0,126.0,  
get_userdata,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_user_by,2.0,2.0,0.0,8.0,6.0,11.0,11.0,2.0,  
cache_users,3.0,3.0,0.0,14.0,11.0,19.0,19.0,4.0,  
wp_mail,45.0,47.0,37.0,174.0,135.0,242.0,205.0,3.4255872E8,  
wp_authenticate,3.0,4.0,2.0,13.0,9.0,20.0,18.0,6.0,  
wp_logout,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
wp_validate_auth_cookie,7.0,8.0,3.0,30.0,24.0,43.0,40.0,96.0,  
wp_generate_auth_cookie,1.0,1.0,0.0,8.0,6.0,12.0,12.0,1.0,  
wp_parse_auth_cookie,8.0,8.0,0.0,31.0,25.0,35.0,35.0,22.0,  
wp_set_auth_cookie,5.0,5.0,2.0,29.0,23.0,37.0,35.0,16.0,  
wp_clear_auth_cookie,1.0,1.0,2.0,17.0,15.0,22.0,20.0,1.0,  
is_user_logged_in,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
auth_redirect,7.0,13.0,12.0,32.0,23.0,54.0,42.0,150.0,  
check_admin_referer,4.0,6.0,0.0,13.0,10.0,14.0,14.0,40.0,  
check_ajax_referer,6.0,9.0,0.0,18.0,14.0,23.0,23.0,25.0,  
wp_redirect,3.0,4.0,17.0,12.0,10.0,35.0,18.0,6.0,  
wp_sanitize_redirect,1.0,1.0,1.0,7.0,5.0,9.0,8.0,1.0,  
wp_safe_redirect,1.0,1.0,1.0,5.0,3.0,9.0,8.0,1.0,  
wp_validate_redirect,10.0,19.0,7.0,24.0,19.0,41.0,34.0,38400.0,  
wp_notify_postauthor,17.0,17.0,12.0,74.0,66.0,104.0,92.0,12288.0,  
wp_notify_moderator,7.0,9.0,4.0,59.0,52.0,73.0,69.0,96.0,  
wp_password_change_notification,2.0,2.0,4.0,7.0,4.0,11.0,7.0,2.0,  
wp_new_user_notification,2.0,2.0,2.0,14.0,12.0,23.0,21.0,2.0,  
wp_nonce_tick,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
wp_verify_nonce,4.0,4.0,3.0,16.0,12.0,23.0,20.0,8.0,  
wp_create_nonce,2.0,2.0,0.0,8.0,6.0,10.0,10.0,2.0,  
wp_salt,15.0,22.0,0.0,47.0,35.0,51.0,51.0,2000.0,  
wp_hash,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
wp_hash_password,2.0,2.0,1.0,8.0,5.0,11.0,10.0,2.0,  
wp_check_password,4.0,5.0,5.0,17.0,12.0,27.0,22.0,8.0,  
wp_generate_password,4.0,4.0,1.0,12.0,9.0,15.0,14.0,8.0,  
wp_rand,6.0,6.0,7.0,22.0,18.0,35.0,28.0,50.0,  
wp_set_password,1.0,1.0,0.0,6.0,4.0,8.0,8.0,1.0,  
get_avatar,25.0,27.0,2.0,75.0,62.0,88.0,86.0,77760.0,  
wp_text_diff,8.0,13.0,0.0,36.0,31.0,45.0,45.0,768.0,  
hash_equals,3.0,3.0,1.0,11.0,7.0,14.0,13.0,4.0,  
wp_default_scripts,10.0,41.0,21.0,364.0,193.0,472.0,451.0,50000.0,  
wp_default_styles,8.0,10.0,4.0,43.0,40.0,58.0,54.0,2000.0,  
wp_prototype_before_jquery,4.0,4.0,0.0,11.0,9.0,16.0,16.0,8.0,  
wp_just_in_time_script_localization,1.0,1.0,0.0,8.0,1.0,10.0,10.0,1.0,  
wp_style_loader_src,6.0,10.0,0.0,21.0,17.0,28.0,28.0,58.0,  
print_head_scripts,4.0,4.0,0.0,14.0,12.0,19.0,19.0,8.0,  
print_footer_scripts,3.0,3.0,1.0,12.0,10.0,16.0,15.0,4.0,  
_print_scripts,6.0,8.0,1.0,21.0,17.0,27.0,26.0,120.0,  
wp_print_head_scripts,3.0,3.0,1.0,8.0,6.0,11.0,10.0,4.0,  
_wp_footer_scripts,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
wp_print_footer_scripts,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_enqueue_scripts,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
print_admin_styles,5.0,7.0,0.0,15.0,13.0,20.0,20.0,80.0,  
print_late_styles,3.0,3.0,0.0,11.0,9.0,15.0,15.0,4.0,  
_print_styles,6.0,8.0,0.0,19.0,15.0,23.0,23.0,120.0,  
script_concat_settings,10.0,17.0,0.0,19.0,14.0,23.0,23.0,9261.0,  
wp_version_check,22.0,32.0,12.0,106.0,72.0,141.0,129.0,4.8384E7,  
wp_update_plugins,24.0,33.0,12.0,92.0,69.0,125.0,113.0,3951360.0,  
wp_update_themes,23.0,32.0,12.0,96.0,66.0,131.0,119.0,1975680.0,  
wp_maybe_auto_update,1.0,1.0,0.0,6.0,4.0,7.0,7.0,1.0,  
wp_get_translation_updates,4.0,4.0,0.0,13.0,9.0,16.0,16.0,5.0,  
wp_get_update_data,13.0,19.0,13.0,33.0,28.0,53.0,40.0,21600.0,  
_maybe_update_core,2.0,5.0,1.0,10.0,5.0,13.0,12.0,5.0,  
_maybe_update_plugins,2.0,3.0,0.0,6.0,4.0,6.0,6.0,3.0,  
_maybe_update_themes,2.0,3.0,0.0,6.0,4.0,7.0,7.0,3.0,  
wp_schedule_update_checks,5.0,9.0,0.0,10.0,8.0,13.0,13.0,81.0,  
wp_signon,9.0,9.0,2.0,31.0,25.0,42.0,40.0,108.0,  
wp_authenticate_username_password,9.0,10.0,0.0,23.0,20.0,33.0,33.0,160.0,  
wp_authenticate_cookie,6.0,7.0,1.0,16.0,13.0,23.0,22.0,20.0,  
wp_authenticate_spam_check,3.0,5.0,0.0,8.0,5.0,9.0,9.0,5.0,  
count_user_posts,1.0,1.0,0.0,6.0,4.0,9.0,9.0,1.0,  
count_many_users_posts,5.0,6.0,0.0,17.0,13.0,22.0,22.0,18.0,  
get_current_user_id,3.0,3.0,0.0,6.0,4.0,6.0,6.0,10.0,  
get_user_option,6.0,6.0,2.0,17.0,14.0,22.0,20.0,24.0,  
update_user_option,2.0,2.0,0.0,6.0,4.0,8.0,8.0,2.0,  
delete_user_option,2.0,2.0,0.0,6.0,4.0,7.0,7.0,2.0,  
get_users,1.0,1.0,0.0,6.0,4.0,9.0,9.0,1.0,  
get_blogs_of_user,11.0,23.0,1.0,67.0,40.0,78.0,77.0,6120.0,  
is_user_member_of_blog,3.0,3.0,0.0,10.0,8.0,13.0,13.0,4.0,  
add_user_meta,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
delete_user_meta,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_user_meta,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
update_user_meta,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
count_users,10.0,10.0,5.0,47.0,36.0,65.0,60.0,19.0,  
setup_userdata,3.0,3.0,0.0,20.0,17.0,23.0,23.0,4.0,  
wp_dropdown_users,13.0,18.0,0.0,51.0,37.0,64.0,64.0,24670.0,  
sanitize_user_field,13.0,14.0,2.0,39.0,29.0,48.0,46.0,576.0,  
update_user_caches,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
clean_user_cache,3.0,3.0,0.0,10.0,8.0,12.0,12.0,4.0,  
username_exists,2.0,2.0,0.0,7.0,3.0,7.0,7.0,2.0,  
email_exists,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
validate_username,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
wp_insert_user,34.0,38.0,4.0,110.0,97.0,146.0,142.0,1.33772083E9,  
wp_update_user,8.0,8.0,6.0,30.0,24.0,46.0,40.0,72.0,  
wp_create_user,1.0,1.0,0.0,7.0,5.0,8.0,8.0,1.0,  
_get_additional_user_keys,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
wp_get_user_contact_methods,2.0,2.0,8.0,11.0,4.0,20.0,12.0,2.0,  
_wp_get_user_contactmethods,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
check_password_reset_key,7.0,9.0,10.0,23.0,19.0,42.0,32.0,144.0,  
reset_password,1.0,1.0,0.0,6.0,4.0,8.0,8.0,1.0,  
register_new_user,9.0,10.0,3.0,34.0,29.0,46.0,43.0,96.0,  
wp_is_mobile,4.0,10.0,1.0,19.0,9.0,22.0,21.0,18.0,  
login_header,18.0,20.0,66.0,83.0,61.0,168.0,102.0,52224.0,  
login_footer,3.0,3.0,6.0,21.0,10.0,29.0,23.0,4.0,  
wp_shake_js,2.0,2.0,0.0,13.0,2.0,13.0,13.0,2.0,  
wp_login_viewport_meta,1.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,  
retrieve_password,11.0,12.0,56.0,54.0,47.0,128.0,72.0,576.0,  
logIO,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
comment_footer_die,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
wp_credits,4.0,7.0,0.0,17.0,12.0,24.0,24.0,9.0,  
_wp_credits_add_profile_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_wp_credits_build_object_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
export_add_js,1.0,1.0,0.0,20.0,0.0,20.0,20.0,1.0,  
export_date_options,4.0,6.0,0.0,18.0,10.0,22.0,22.0,12.0,  
wp_ajax_nopriv_heartbeat,3.0,3.0,29.0,15.0,11.0,51.0,22.0,4.0,  
wp_ajax_fetch_list,3.0,3.0,0.0,12.0,10.0,17.0,17.0,4.0,  
wp_ajax_ajax_tag_search,7.0,7.0,1.0,27.0,22.0,32.0,31.0,40.0,  
wp_ajax_wp_compression_test,11.0,16.0,0.0,40.0,33.0,44.0,44.0,102.0,  
wp_ajax_imgedit_preview,3.0,4.0,0.0,10.0,8.0,13.0,13.0,6.0,  
wp_ajax_oembed_cache,2.0,2.0,0.0,5.0,3.0,6.0,6.0,5.0,  
wp_ajax_autocomplete_user,8.0,11.0,4.0,31.0,17.0,43.0,39.0,2400.0,  
wp_ajax_dashboard_widgets,5.0,5.0,0.0,18.0,15.0,19.0,19.0,4.0,  
wp_ajax_logged_in,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
_wp_ajax_delete_comment_response,12.0,16.0,7.0,39.0,25.0,49.0,42.0,75000.0,  
_wp_ajax_add_hierarchical_term,16.0,17.0,3.0,72.0,53.0,78.0,75.0,20000.0,  
wp_ajax_delete_comment,16.0,23.0,3.0,38.0,34.0,42.0,39.0,920.0,  
wp_ajax_delete_tag,5.0,6.0,0.0,15.0,12.0,19.0,19.0,60.0,  
wp_ajax_delete_link,5.0,6.0,0.0,13.0,10.0,16.0,16.0,60.0,  
wp_ajax_delete_meta,5.0,6.0,0.0,11.0,9.0,13.0,13.0,60.0,  
wp_ajax_delete_post,6.0,6.0,0.0,14.0,11.0,17.0,17.0,80.0,  
wp_ajax_trash_post,7.0,7.0,0.0,17.0,14.0,22.0,22.0,160.0,  
wp_ajax_untrash_post,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
wp_ajax_delete_page,6.0,6.0,0.0,14.0,11.0,17.0,17.0,80.0,  
wp_ajax_dim_comment,7.0,9.0,1.0,29.0,18.0,36.0,35.0,360.0,  
wp_ajax_add_link_category,8.0,8.0,0.0,29.0,21.0,29.0,29.0,52.0,  
wp_ajax_add_tag,7.0,10.0,0.0,42.0,28.0,52.0,52.0,600.0,  
wp_ajax_get_tagcloud,8.0,8.0,1.0,26.0,21.0,35.0,34.0,80.0,  
wp_ajax_get_comments,9.0,10.0,0.0,34.0,27.0,43.0,43.0,192.0,  
wp_ajax_replyto_comment,20.0,25.0,3.0,76.0,60.0,93.0,90.0,345600.0,  
wp_ajax_edit_comment,9.0,11.0,0.0,30.0,23.0,41.0,41.0,10000.0,  
wp_ajax_add_menu_item,11.0,13.0,12.0,53.0,35.0,78.0,66.0,288.0,  
wp_ajax_add_meta,15.0,22.0,7.0,78.0,48.0,82.0,75.0,217.0,  
wp_ajax_add_user,5.0,5.0,0.0,30.0,16.0,34.0,34.0,12.0,  
wp_ajax_autosave,11.0,17.0,6.0,47.0,33.0,61.0,55.0,1512.0,  
wp_ajax_closed_postboxes,8.0,8.0,1.0,19.0,16.0,26.0,25.0,2000.0,  
wp_ajax_hidden_columns,6.0,6.0,0.0,13.0,11.0,17.0,17.0,200.0,  
wp_ajax_update_welcome_panel,3.0,3.0,0.0,7.0,5.0,10.0,10.0,10.0,  
wp_ajax_menu_get_metabox,5.0,8.0,7.0,34.0,19.0,47.0,40.0,30.0,  
wp_ajax_wp_link_ajax,4.0,4.0,0.0,14.0,12.0,20.0,20.0,20.0,  
wp_ajax_menu_locations_save,3.0,3.0,0.0,9.0,7.0,9.0,9.0,4.0,  
wp_ajax_meta_box_order,9.0,9.0,0.0,17.0,15.0,24.0,24.0,4000.0,  
wp_ajax_menu_quick_search,2.0,2.0,0.0,7.0,5.0,10.0,10.0,2.0,  
wp_ajax_get_permalink,2.0,2.0,0.0,5.0,3.0,5.0,5.0,5.0,  
wp_ajax_sample_permalink,4.0,4.0,0.0,7.0,5.0,7.0,7.0,125.0,  
wp_ajax_inline_save,14.0,17.0,5.0,54.0,45.0,77.0,72.0,44928.0,  
wp_ajax_inline_save_tax,9.0,14.0,0.0,37.0,31.0,44.0,44.0,216.0,  
wp_ajax_find_posts,11.0,11.0,1.0,50.0,38.0,62.0,61.0,204.0,  
wp_ajax_widgets_order,7.0,7.0,1.0,24.0,18.0,30.0,29.0,12.0,  
wp_ajax_save_widget,15.0,20.0,16.0,52.0,46.0,87.0,71.0,126000.0,  
wp_ajax_upload_attachment,12.0,14.0,1.0,50.0,27.0,64.0,63.0,2880.0,  
wp_ajax_image_editor,5.0,6.0,0.0,23.0,20.0,26.0,26.0,9.0,  
wp_ajax_set_post_thumbnail,8.0,8.0,1.0,24.0,17.0,30.0,29.0,168.0,  
wp_ajax_date_format,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_ajax_time_format,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_ajax_wp_fullscreen_save_post,9.0,10.0,0.0,37.0,28.0,47.0,47.0,480.0,  
wp_ajax_wp_remove_post_lock,5.0,6.0,7.0,16.0,14.0,27.0,20.0,24.0,  
wp_ajax_dismiss_wp_pointer,3.0,3.0,1.0,12.0,10.0,18.0,17.0,4.0,  
wp_ajax_get_attachment,7.0,7.0,0.0,15.0,13.0,21.0,21.0,64.0,  
wp_ajax_query_attachments,4.0,4.0,7.0,18.0,13.0,30.0,23.0,20.0,  
wp_ajax_save_attachment,10.0,11.0,0.0,28.0,24.0,38.0,38.0,576.0,  
wp_ajax_save_attachment_compat,10.0,11.0,2.0,28.0,24.0,41.0,39.0,576.0,  
wp_ajax_save_attachment_order,9.0,9.0,0.0,23.0,20.0,32.0,32.0,144.0,  
wp_ajax_send_attachment_to_editor,14.0,17.0,3.0,35.0,29.0,47.0,44.0,200960.0,  
wp_ajax_send_link_to_editor,7.0,10.0,2.0,20.0,17.0,30.0,28.0,160.0,  
wp_ajax_heartbeat,5.0,5.0,30.0,21.0,16.0,60.0,30.0,16.0,  
wp_ajax_get_revision_diffs,5.0,5.0,2.0,19.0,13.0,26.0,24.0,16.0,  
add_link,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
edit_link,4.0,5.0,0.0,17.0,13.0,19.0,19.0,12.0,  
get_default_link_to_edit,3.0,3.0,0.0,13.0,9.0,16.0,16.0,4.0,  
wp_delete_link,1.0,1.0,14.0,9.0,7.0,27.0,13.0,1.0,  
wp_get_link_cats,1.0,1.0,0.0,4.0,2.0,6.0,6.0,1.0,  
get_link_to_edit,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_insert_link,21.0,23.0,15.0,64.0,50.0,100.0,85.0,294912.0,  
wp_set_link_cats,2.0,3.0,1.0,8.0,6.0,12.0,11.0,3.0,  
wp_update_link,2.0,4.0,3.0,13.0,9.0,21.0,18.0,4.0,  
wp_link_manager_disabled_message,3.0,6.0,0.0,13.0,10.0,16.0,16.0,12.0,  
comment_exists,1.0,1.0,0.0,7.0,4.0,9.0,9.0,1.0,  
edit_comment,15.0,16.0,0.0,36.0,31.0,41.0,41.0,320512.0,  
get_comment_to_edit,2.0,2.0,7.0,13.0,11.0,24.0,17.0,2.0,  
get_pending_comments_num,7.0,7.0,1.0,26.0,20.0,34.0,33.0,36.0,  
floated_admin_avatar,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
enqueue_comment_hotkeys_js,2.0,2.0,0.0,4.0,2.0,4.0,4.0,2.0,  
wp_dashboard_setup,24.0,40.0,14.0,103.0,65.0,134.0,120.0,4.89888E8,  
wp_add_dashboard_widget,7.0,10.0,0.0,28.0,22.0,33.0,33.0,72.0,  
_wp_dashboard_control_callback,1.0,1.0,0.0,8.0,6.0,8.0,8.0,1.0,  
wp_dashboard,1.0,1.0,0.0,22.0,9.0,25.0,25.0,1.0,  
wp_dashboard_right_now,19.0,24.0,25.0,131.0,114.0,186.0,161.0,42240.0,  
wp_network_dashboard_right_now,5.0,5.0,0.0,42.0,24.0,46.0,46.0,12.0,  
wp_dashboard_quick_press,15.0,21.0,9.0,106.0,53.0,117.0,108.0,26880.0,  
wp_dashboard_recent_drafts,5.0,6.0,0.0,32.0,15.0,33.0,33.0,10.0,  
wp_dashboard_recent_comments,10.0,12.0,1.0,34.0,27.0,42.0,41.0,350.0,  
_wp_dashboard_recent_comments_row,9.0,14.0,6.0,78.0,52.0,92.0,86.0,165.0,  
wp_dashboard_recent_comments_control,5.0,6.0,0.0,14.0,11.0,18.0,18.0,60.0,  
wp_dashboard_incoming_links,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_incoming_links_output,12.0,13.0,4.0,61.0,49.0,77.0,73.0,592.0,  
wp_dashboard_incoming_links_control,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_primary,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_primary_control,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_rss_output,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
wp_dashboard_secondary,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_secondary_control,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_dashboard_secondary_output,4.0,5.0,0.0,22.0,17.0,23.0,23.0,5.0,  
wp_dashboard_plugins,1.0,1.0,0.0,6.0,1.0,6.0,6.0,1.0,  
wp_dashboard_plugins_output,11.0,13.0,5.0,48.0,38.0,69.0,64.0,470.0,  
wp_dashboard_cached_rss_widget,6.0,9.0,1.0,29.0,22.0,34.0,33.0,48.0,  
wp_dashboard_trigger_widget_control,2.0,5.0,0.0,6.0,3.0,7.0,7.0,5.0,  
wp_dashboard_rss_control,6.0,8.0,2.0,27.0,21.0,32.0,30.0,24.0,  
wp_dashboard_quota,4.0,6.0,0.0,33.0,16.0,36.0,36.0,40.0,  
wp_dashboard_browser_nag,6.0,7.0,0.0,26.0,20.0,32.0,32.0,25.0,  
dashboard_browser_nag_class,2.0,3.0,0.0,6.0,4.0,8.0,8.0,3.0,  
wp_check_browser_version,5.0,6.0,11.0,20.0,14.0,40.0,29.0,14.0,  
wp_dashboard_empty,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
wp_welcome_panel,4.0,7.0,0.0,43.0,26.0,43.0,43.0,16.0,  
wxr_cdata,2.0,2.0,1.0,6.0,4.0,9.0,8.0,2.0,  
wxr_site_url,2.0,2.0,2.0,6.0,3.0,8.0,6.0,2.0,  
wxr_cat_name,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_category_description,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_tag_name,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_tag_description,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_term_name,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_term_description,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
wxr_authors_list,3.0,3.0,0.0,18.0,15.0,21.0,21.0,4.0,  
wxr_nav_menu_terms,3.0,4.0,0.0,10.0,7.0,11.0,11.0,6.0,  
wxr_post_taxonomy,3.0,3.0,0.0,10.0,7.0,12.0,12.0,4.0,  
wxr_filter_postmeta,2.0,2.0,0.0,5.0,3.0,5.0,5.0,2.0,  
export_wp,32.0,40.0,83.0,283.0,215.0,413.0,330.0,3.2569344E8,  
get_file_description,4.0,5.0,0.0,12.0,8.0,14.0,14.0,5.0,  
get_home_path,2.0,3.0,1.0,13.0,9.0,14.0,13.0,3.0,  
list_files,8.0,8.0,0.0,24.0,17.0,26.0,26.0,32.0,  
wp_tempnam,3.0,3.0,0.0,11.0,9.0,12.0,12.0,4.0,  
validate_file_to_edit,4.0,4.0,2.0,11.0,8.0,17.0,15.0,4.0,  
wp_handle_upload_error,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_handle_upload,18.0,27.0,19.0,74.0,56.0,120.0,101.0,912384.0,  
wp_handle_upload_error,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
wp_handle_sideload,15.0,21.0,19.0,64.0,49.0,108.0,89.0,57024.0,  
download_url,7.0,7.0,1.0,25.0,19.0,32.0,31.0,48.0,  
verify_file_md5,4.0,4.0,1.0,12.0,9.0,15.0,14.0,6.0,  
unzip_file,11.0,13.0,6.0,32.0,25.0,42.0,36.0,180.0,  
_unzip_file_ziparchive,20.0,25.0,14.0,57.0,48.0,82.0,68.0,201960.0,  
_unzip_file_pclzip,18.0,23.0,15.0,51.0,43.0,80.0,65.0,134640.0,  
copy_dir,12.0,12.0,2.0,31.0,24.0,39.0,37.0,45.0,  
WP_Filesystem,10.0,11.0,3.0,28.0,25.0,41.0,38.0,576.0,  
get_filesystem_method,10.0,20.0,3.0,22.0,21.0,27.0,24.0,7560.0,  
request_filesystem_credentials,39.0,57.0,8.0,156.0,96.0,175.0,167.0,2.11583238E13,  
wp_image_editor,16.0,20.0,1.0,172.0,124.0,185.0,184.0,3600000.0,  
wp_crop_image,7.0,7.0,5.0,25.0,20.0,37.0,32.0,48.0,  
wp_generate_attachment_metadata,15.0,19.0,10.0,71.0,55.0,86.0,76.0,348.0,  
wp_exif_frac2dec,2.0,2.0,0.0,6.0,4.0,6.0,6.0,2.0,  
wp_exif_date2ts,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
