
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
exists,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
is_file,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
is_dir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
is_readable,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
is_writable,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
atime,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
mtime,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
size,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
touch,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
mkdir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
rmdir,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
dirlist,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,  
get_imported_posts,4.0,4.0,4.0,19.0,14.0,30.0,26.0,4.0,  
count_imported_posts,2.0,2.0,2.0,11.0,9.0,19.0,17.0,2.0,  
get_imported_comments,5.0,5.0,5.0,22.0,16.0,35.0,30.0,5.0,  
set_blog,7.0,8.0,0.0,24.0,17.0,26.0,26.0,39.0,  
set_user,3.0,4.0,0.0,12.0,7.0,14.0,14.0,6.0,  
cmpr_strlen,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
get_page,3.0,4.0,1.0,11.0,9.0,15.0,14.0,6.0,  
bump_request_timeout,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
is_user_over_quota,3.0,3.0,0.0,9.0,5.0,10.0,10.0,3.0,  
min_whitespace,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
stop_the_insanity,1.0,1.0,2.0,5.0,3.0,7.0,5.0,1.0,  
__construct,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
add_strings,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
before,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
after,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
bulk_footer,3.0,3.0,0.0,12.0,7.0,13.0,13.0,4.0,  
__construct,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
add_strings,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
before,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
after,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
bulk_footer,3.0,4.0,0.0,12.0,7.0,13.0,13.0,6.0,  
